,POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
47,8.0,,Souksavanh TONSACKTHEVA,LAOLAO,11.51,0.183,100 m,Heats,M,2008
48,1.0,,Francis OBIKWELU,PORPOR,10.25 Q,0.19,100 m,Heats,M,2008
49,2.0,,Obinna METU,NGRNGR,10.34 Q,0.17600000000000002,100 m,Heats,M,2008
50,3.0,,Walter DIX,USAUSA,10.35 Q,0.16699999999999998,100 m,Heats,M,2008
51,4.0,,Anson HENRY,CANCAN,10.37 q,0.138,100 m,Heats,M,2008
52,5.0,,Dmytro HLUSHCHENKO,UKRUKR,10.57,0.2,100 m,Heats,M,2008
53,6.0,,Calvin KANG LI LOONG,SGPSGP,10.73,0.14,100 m,Heats,M,2008
54,7.0,,Jesse TAMANGROW,PLWPLW,11.38,0.146,100 m,Heats,M,2008
55,8.0,,Reginaldo MICHA NDONG,GEQGEQ,11.61,0.242,100 m,Heats,M,2008
56,1.0,,Derrick ATKINS,BAHBAH,10.28 Q,0.162,100 m,Heats,M,2008
57,2.0,,Andrey EPISHIN,RUSRUS,10.34 Q,0.172,100 m,Heats,M,2008
58,3.0,,Jaysuma SAIDY NDURE,NORNOR,10.37 Q,0.16399999999999998,100 m,Heats,M,2008
59,4.0,,Uchenna EMEDOLU,NGRNGR,10.46 q,0.192,100 m,Heats,M,2008
60,5.0,,Suwaibou SANNEH,GAMGAM,10.52,0.157,100 m,Heats,M,2008
61,6.0,,Sandro VIANA,BRABRA,10.6,0.16,100 m,Heats,M,2008
62,7.0,,Chun Ho LAI,HKGHKG,10.63,0.19899999999999998,100 m,Heats,M,2008
63,8.0,,Mohamed ABU ABDULLAH,BANBAN,11.07,0.174,100 m,Heats,M,2008
64,1.0,,Marc BURNS,TTOTTO,10.46 Q,0.16,100 m,Heats,M,2008
65,2.0,,Matic OSOVNIKAR,SLOSLO,10.46 Q,0.187,100 m,Heats,M,2008
66,3.0,,Rolando PALACIOS,HONHON,10.49,0.18899999999999997,100 m,Heats,M,2008
67,4.0,,Ruslan ABBASOV,AZEAZE,10.58,0.154,100 m,Heats,M,2008
68,5.0,,Sébastien GATTUSO,MONMON,10.7,0.16399999999999998,100 m,Heats,M,2008
69,6.0,,Jack HOWARD,FSMFSM,11.03,0.204,100 m,Heats,M,2008
70,7.0,,Gordon Teokotai HEATHER,COKCOK,11.41,0.214,100 m,Heats,M,2008
71,,,Samuel FRANCIS,QATQAT,DQ,0.153,100 m,Heats,M,2008
72,1.0,,Churandy MARTINA,AHOAHO,10.35 Q,0.16399999999999998,100 m,Heats,M,2008
73,2.0,,Naoki TSUKAHARA,JPNJPN,10.39 Q,0.16899999999999998,100 m,Heats,M,2008
74,3.0,,Simeon WILLIAMSON,GBRGBR,10.42 Q,0.183,100 m,Heats,M,2008
75,4.0,,Tobias UNGER,GERGER,10.46 q,0.161,100 m,Heats,M,2008
76,5.0,,Franklin NAZARENO,ECUECU,10.6,0.17800000000000002,100 m,Heats,M,2008
77,6.0,,Wilfried BINGANGOYE,GABGAB,10.87,0.171,100 m,Heats,M,2008
78,7.0,,Moumi SEBERGUE,CHACHA,11.14,0.21,100 m,Heats,M,2008
79,8.0,,Okilani TINILAU,TUVTUV,11.48,0.174,100 m,Heats,M,2008
80,1.0,,Churandy MARTINA,AHOAHO,9.99 Q,0.142,100 m,Quarter,M,2008
81,2.0,,Michael FRATER,JAMJAM,10.09 Q,0.154,100 m,Quarter,M,2008
82,3.0,,Naoki TSUKAHARA,JPNJPN,10.23 Q,0.156,100 m,Quarter,M,2008
83,4.0,,Simeon WILLIAMSON,GBRGBR,10.32,0.127,100 m,Quarter,M,2008
84,5.0,,Henry VIZCAÍNO,CUBCUB,10.33,0.16699999999999998,100 m,Quarter,M,2008
85,6.0,,Pierre BROWNE,CANCAN,10.36,0.14400000000000002,100 m,Quarter,M,2008
86,7.0,,Dariusz KUC,POLPOL,10.46,0.17600000000000002,100 m,Quarter,M,2008
87,8.0,,Darrel BROWN,TTOTTO,10.93,0.11900000000000001,100 m,Quarter,M,2008
88,1.0,,Richard THOMPSON,TTOTTO,9.99 Q,0.17,100 m,Quarter,M,2008
89,2.0,,Tyson GAY,USAUSA,10.09 Q,0.146,100 m,Quarter,M,2008
90,3.0,,Martial MBANDJOCK,FRAFRA,10.16 Q,0.16,100 m,Quarter,M,2008
91,4.0,,Olusoji A. FASUBA,NGRNGR,10.21,0.147,100 m,Quarter,M,2008
92,5.0,,Andrew HINDS,BARBAR,10.25,0.14800000000000002,100 m,Quarter,M,2008
93,6.0,,José Carlos MOREIRA,BRABRA,10.32,0.193,100 m,Quarter,M,2008
94,7.0,,Simone COLLIO,ITAITA,10.33,0.138,100 m,Quarter,M,2008
95,8.0,,Daniel GRUESO,COLCOL,10.37,0.193,100 m,Quarter,M,2008
96,1.0,,Marc BURNS,TTOTTO,10.05 Q,0.174,100 m,Quarter,M,2008
97,2.0,,Kim COLLINS,SKNSKN,10.07 Q,0.15,100 m,Quarter,M,2008
98,3.0,,Tyrone EDGAR,GBRGBR,10.10 Q,0.13,100 m,Quarter,M,2008
99,4.0,,Ronald POGNON,FRAFRA,10.21,0.16699999999999998,100 m,Quarter,M,2008
100,5.0,,Matic OSOVNIKAR,SLOSLO,10.24,0.171,100 m,Quarter,M,2008
101,6.0,,Tobias UNGER,GERGER,10.36,0.136,100 m,Quarter,M,2008
102,7.0,,Nobuharu ASAHARA,JPNJPN,10.37,0.145,100 m,Quarter,M,2008
103,,,Samuel FRANCIS,QATQAT,DQ,0.16399999999999998,100 m,Quarter,M,2008
104,1.0,,Usain BOLT,JAMJAM,9.92 Q,0.165,100 m,Quarter,M,2008
105,2.0,,Darvis PATTON,USAUSA,10.04 Q,0.159,100 m,Quarter,M,2008
106,3.0,,Francis OBIKWELU,PORPOR,10.09 Q,0.168,100 m,Quarter,M,2008
107,4.0,,Jaysuma SAIDY NDURE,NORNOR,10.14,0.133,100 m,Quarter,M,2008
108,5.0,,Craig PICKERING,GBRGBR,10.18,0.14400000000000002,100 m,Quarter,M,2008
109,6.0,,Obinna METU,NGRNGR,10.27,0.174,100 m,Quarter,M,2008
110,7.0,,Anson HENRY,CANCAN,10.33,0.142,100 m,Quarter,M,2008
111,8.0,,Ángel David RODRÍGUEZ,ESPESP,10.35,0.154,100 m,Quarter,M,2008
112,1.0,,Asafa POWELL,JAMJAM,10.02 Q,0.149,100 m,Quarter,M,2008
113,2.0,,Walter DIX,USAUSA,10.08 Q,0.163,100 m,Quarter,M,2008
114,3.0,,Derrick ATKINS,BAHBAH,10.14 Q,0.179,100 m,Quarter,M,2008
115,4.0,,Daniel BAILEY,ANTANT,10.23,0.149,100 m,Quarter,M,2008
116,5.0,,Aziz ZAKARI,GHAGHA,10.24,0.16699999999999998,100 m,Quarter,M,2008
117,6.0,,Andrey EPISHIN,RUSRUS,10.25,0.158,100 m,Quarter,M,2008
118,7.0,,Vicente DE LIMA,BRABRA,10.31,0.157,100 m,Quarter,M,2008
119,8.0,,Kai HU,CHNCHN,10.4,0.165,100 m,Quarter,M,2008
120,1.0,,Usain BOLT,JAMJAM,9.85 Q,0.161,100 m,Semi,M,2008
121,2.0,,Walter DIX,USAUSA,9.95 Q,0.14300000000000002,100 m,Semi,M,2008
122,3.0,,Marc BURNS,TTOTTO,9.97 Q,0.124,100 m,Semi,M,2008
123,4.0,,Michael FRATER,JAMJAM,10.01 Q,0.163,100 m,Semi,M,2008
124,5.0,,Kim COLLINS,SKNSKN,10.05,0.163,100 m,Semi,M,2008
125,6.0,,Derrick ATKINS,BAHBAH,10.13,0.159,100 m,Semi,M,2008
126,7.0,,Tyrone EDGAR,GBRGBR,10.18,0.14300000000000002,100 m,Semi,M,2008
127,,,Samuel FRANCIS,QATQAT,DQ,0.146,100 m,Semi,M,2008
128,1.0,,Asafa POWELL,JAMJAM,9.91 Q,0.161,100 m,Semi,M,2008
129,2.0,,Richard THOMPSON,TTOTTO,9.93 Q,0.175,100 m,Semi,M,2008
130,3.0,,Churandy MARTINA,AHOAHO,9.94 Q,0.138,100 m,Semi,M,2008
131,4.0,,Darvis PATTON,USAUSA,10.03 Q,0.149,100 m,Semi,M,2008
132,5.0,,Tyson GAY,USAUSA,10.05,0.145,100 m,Semi,M,2008
133,6.0,,Francis OBIKWELU,PORPOR,10.1,0.157,100 m,Semi,M,2008
134,7.0,,Naoki TSUKAHARA,JPNJPN,10.16,0.14300000000000002,100 m,Semi,M,2008
135,8.0,,Martial MBANDJOCK,FRAFRA,10.18,0.14800000000000002,100 m,Semi,M,2008
136,1.0,,Usain BOLT,JAMJAM,9.69,0.165,100 m,Final,M,2008
137,2.0,,Richard THOMPSON,TTOTTO,9.89,0.133,100 m,Final,M,2008
138,3.0,,Walter DIX,USAUSA,9.91,0.133,100 m,Final,M,2008
139,4.0,,Churandy MARTINA,AHOAHO,9.93,0.16899999999999998,100 m,Final,M,2008
140,5.0,,Asafa POWELL,JAMJAM,9.95,0.134,100 m,Final,M,2008
141,6.0,,Michael FRATER,JAMJAM,9.97,0.147,100 m,Final,M,2008
142,7.0,,Marc BURNS,TTOTTO,10.01,0.145,100 m,Final,M,2008
143,8.0,,Darvis PATTON,USAUSA,10.03,0.142,100 m,Final,M,2008
144,1.0,,Torri EDWARDS,USAUSA,11.26 Q,0.16899999999999998,100 m,Heats,F,2008
145,2.0,,Jeanette KWAKYE,GBRGBR,11.30 Q,0.142,100 m,Heats,F,2008
146,3.0,,Myriam Léonie MANI,CMRCMR,11.64 Q,0.151,100 m,Heats,F,2008
147,4.0,,Inna EFTIMOVA,BULBUL,11.67,0.18899999999999997,100 m,Heats,F,2008
148,5.0,,Jing WANG,CHNCHN,11.87,0.188,100 m,Heats,F,2008
149,6.0,,Ani KHACHIKYAN,ARMARM,12.76,0.204,100 m,Heats,F,2008
150,7.0,,Ivana ROHMAN,MKDMKD,12.92,0.233,100 m,Heats,F,2008
151,8.0,,Peoria KOSHIBA,PLWPLW,13.18,0.174,100 m,Heats,F,2008
152,9.0,,Buthaina AL-YAQOOBI,OMAOMA,13.9,0.18,100 m,Heats,F,2008
153,1.0,,Christine ARRON,FRAFRA,11.37 Q,0.25,100 m,Heats,F,2008
154,2.0,,Lauryn WILLIAMS,USAUSA,11.38 Q,0.183,100 m,Heats,F,2008
155,3.0,,Tahesia HARRIGAN-SCOTT,IVBIVB,11.46 Q,0.188,100 m,Heats,F,2008
156,4.0,,Lucimar Aparecida DE MOURA,BRABRA,11.60 q,0.163,100 m,Heats,F,2008
157,5.0,,Sherry FLETCHER,GRNGRN,11.65,0.187,100 m,Heats,F,2008
158,6.0,,Danah HUSSEIN,IRQIRQ,12.36,,100 m,Heats,F,2008
159,7.0,,Sadaf SIDDIQUI,PAKPAK,12.41,0.273,100 m,Heats,F,2008
160,8.0,,Asenate MANOA,TUVTUV,14.05,0.205,100 m,Heats,F,2008
161,1.0,,Muna LEE,USAUSA,11.33 Q,0.21899999999999997,100 m,Heats,F,2008
162,2.0,,Anita PISTONE,ITAITA,11.43 Q,0.179,100 m,Heats,F,2008
163,3.0,,Guzel KHUBBIEVA,UZBUZB,11.44 Q,0.142,100 m,Heats,F,2008
164,4.0,,Virgil HODGE,SKNSKN,11.48 q,0.19399999999999998,100 m,Heats,F,2008
165,5.0,,Natalia RUSAKOVA,RUSRUS,11.61 q,0.201,100 m,Heats,F,2008
166,6.0,,Kin Yee WAN,HKGHKG,12.37,0.151,100 m,Heats,F,2008
167,7.0,,Gharid GHROUF,PLEPLE,13.07,0.242,100 m,Heats,F,2008
168,8.0,,Elis LAPENMAL,VANVAN,13.31,0.215,100 m,Heats,F,2008
169,9.0,,Bonko CAMARA,MTNMTN,13.69,0.20199999999999999,100 m,Heats,F,2008
170,1.0,,Chandra STURRUP,BAHBAH,11.30 Q,0.24600000000000002,100 m,Heats,F,2008
171,2.0,,Kelly-Ann BAPTISTE,TTOTTO,11.39 Q,0.204,100 m,Heats,F,2008
172,3.0,,Lina GRINCIKAITÉ-SAMUOLE,LTULTU,11.43 Q,0.168,100 m,Heats,F,2008
173,4.0,,Semoy HACKETT,TTOTTO,11.53 q,0.21,100 m,Heats,F,2008
174,5.0,,Affoué Amandine ALLOU,CIVCIV,11.75,0.204,100 m,Heats,F,2008
175,6.0,,Valentina MEREDOVA,TKMTKM,11.94,0.247,100 m,Heats,F,2008
176,7.0,,Tit Linda SOU,CAMCAM,12.98,0.183,100 m,Heats,F,2008
177,8.0,,Fathia ALI BOURALEH,DJIDJI,14.29,0.28,100 m,Heats,F,2008
178,1.0,,Kim GEVAERT,BELBEL,11.33 Q,0.156,100 m,Heats,F,2008
179,2.0,,Yuliya NESTSIARENKA,BLRBLR,11.40 Q,0.175,100 m,Heats,F,2008
180,3.0,,Thi Huong VU,VIEVIE,11.65 Q,0.207,100 m,Heats,F,2008
181,4.0,,Halimat ISMAILA,NGRNGR,11.72,0.2,100 m,Heats,F,2008
182,5.0,,Chisato FUKUSHIMA,JPNJPN,11.74,0.162,100 m,Heats,F,2008
183,6.0,,Sonia WILLIAMS,ANTANT,12.04,0.198,100 m,Heats,F,2008
184,7.0,,Cora ALICTO,GUMGUM,13.31,0.19899999999999998,100 m,Heats,F,2008
185,8.0,,Robina MUQIMYAR,AFGAFG,14.8,0.263,100 m,Heats,F,2008
186,1.0,,Shelly-Ann FRASER-PRYCE,JAMJAM,11.35 Q,0.193,100 m,Heats,F,2008
187,2.0,,Vida ANIM,GHAGHA,11.47 Q,0.17,100 m,Heats,F,2008
188,3.0,,Ruddy ZANG MILAMA,GABGAB,11.62 Q,0.187,100 m,Heats,F,2008
189,4.0,,Laura TURNER,GBRGBR,11.65,0.174,100 m,Heats,F,2008
190,5.0,,Nirinaharifidy RAMILIJAONA,MADMAD,12.07,0.19,100 m,Heats,F,2008
191,6.0,,Tamicka CLARKE,BAHBAH,12.16,0.172,100 m,Heats,F,2008
192,7.0,,Montserrat PUJOL,ANDAND,12.73,0.225,100 m,Heats,F,2008
193,8.0,,Jessica AGUILERA,NCANCA,13.15,0.195,100 m,Heats,F,2008
194,9.0,,Pauline KWALEA,SOLSOL,13.28,0.166,100 m,Heats,F,2008
195,1.0,,Ivet LALOVA-COLLIO,BULBUL,11.33 Q,0.162,100 m,Heats,F,2008
196,2.0,,Montell DOUGLAS,GBRGBR,11.36 Q,0.16699999999999998,100 m,Heats,F,2008
197,3.0,,Virgen BENAVIDES,CUBCUB,11.45 Q,0.17800000000000002,100 m,Heats,F,2008
198,4.0,,Ene Franca IDOKO,NGRNGR,11.61 q,0.177,100 m,Heats,F,2008
199,5.0,,Pia TAJNIKAR,SLOSLO,11.82,0.18100000000000002,100 m,Heats,F,2008
200,6.0,,Feta AHAMADA,COMCOM,11.88,0.172,100 m,Heats,F,2008
201,7.0,,Fatou TIYANA,GAMGAM,12.25,0.19,100 m,Heats,F,2008
202,8.0,,Beauty NAZMUNNAHAR,BANBAN,12.52,0.19,100 m,Heats,F,2008
203,1.0,,Oludamola OSAYOMI,NGRNGR,11.13 Q,0.20600000000000002,100 m,Heats,F,2008
204,2.0,,Debbie FERGUSON-MCKENZIE,BAHBAH,11.17 Q,0.166,100 m,Heats,F,2008
205,3.0,,Daria KORCZYNSKA,POLPOL,11.22 Q,0.159,100 m,Heats,F,2008
206,4.0,,Yomara HINESTROZA,COLCOL,11.39 q,0.171,100 m,Heats,F,2008
207,5.0,,Sasha SPRINGER,TTOTTO,11.55 q,0.18600000000000003,100 m,Heats,F,2008
208,6.0,,Mae KOIME,PNGPNG,11.68,0.2,100 m,Heats,F,2008
209,7.0,,Hinikissia Albertine NDIKERT,CHACHA,12.55,0.207,100 m,Heats,F,2008
210,8.0,,Magali FRANKA,CODCOD,12.57,0.22399999999999998,100 m,Heats,F,2008
211,1.0,,Evgeniya POLYAKOVA,RUSRUS,11.24 Q,0.17600000000000002,100 m,Heats,F,2008
212,2.0,,Jade BAILEY,BARBAR,11.46 Q,0.19399999999999998,100 m,Heats,F,2008
213,3.0,,Sherone SIMPSON,JAMJAM,11.48 Q,0.172,100 m,Heats,F,2008
214,4.0,,Natalia POHREBNIAK,UKRUKR,11.60 q,0.14400000000000002,100 m,Heats,F,2008
215,5.0,,Tezzhan NAIMOVA,BULBUL,11.7,0.17800000000000002,100 m,Heats,F,2008
216,6.0,,Jutamass TAWONCHAROEN,THATHA,11.82,0.188,100 m,Heats,F,2008
217,7.0,,Waseelah Fadhl SAAD,YEMYEM,13.6,0.23199999999999998,100 m,Heats,F,2008
218,8.0,,Maria IKELAP,FSMFSM,13.73,,100 m,Heats,F,2008
219,9.0,,Philaylack SACKPRASEUTH,LAOLAO,13.86,0.264,100 m,Heats,F,2008
220,1.0,,Kerron STEWART,JAMJAM,11.28 Q,0.19699999999999998,100 m,Heats,F,2008
221,2.0,,Ezinne OKPARAEBO,NORNOR,11.32 Q,0.163,100 m,Heats,F,2008
222,3.0,,LaVerne JONES-FERRETTE,ISVISV,11.41 Q,0.179,100 m,Heats,F,2008
223,4.0,,Barbara PIERRE,HAIHAI,11.52 q,0.165,100 m,Heats,F,2008
224,5.0,,Natalya MURINOVICH,RUSRUS,11.55 q,0.179,100 m,Heats,F,2008
225,6.0,,Charlene ATTARD,MLTMLT,12.2,0.17600000000000002,100 m,Heats,F,2008
226,7.0,,Michaela KARGBO,SLESLE,12.54,0.231,100 m,Heats,F,2008
227,8.0,,Milena MILAEVIC,MNEMNE,12.65,0.218,100 m,Heats,F,2008
228,9.0,,Chandra Kala THAPA,NEPNEP,13.15,0.214,100 m,Heats,F,2008
229,1.0,,Shelly-Ann FRASER-PRYCE,JAMJAM,11.06 Q,0.249,100 m,Quarter,F,2008
230,2.0,,Evgeniya POLYAKOVA,RUSRUS,11.13 Q,0.19699999999999998,100 m,Quarter,F,2008
231,3.0,,Jeanette KWAKYE,GBRGBR,11.18 Q,0.174,100 m,Quarter,F,2008
232,4.0,,Virgil HODGE,SKNSKN,11.45,0.217,100 m,Quarter,F,2008
233,5.0,,LaVerne JONES-FERRETTE,ISVISV,11.55,0.231,100 m,Quarter,F,2008
234,6.0,,Myriam Léonie MANI,CMRCMR,11.65,0.182,100 m,Quarter,F,2008
235,7.0,,Ene Franca IDOKO,NGRNGR,11.66,0.184,100 m,Quarter,F,2008
236,8.0,,Jade BAILEY,BARBAR,11.67,0.23399999999999999,100 m,Quarter,F,2008
237,1.0,,Sherone SIMPSON,JAMJAM,11.02 Q,0.153,100 m,Quarter,F,2008
238,2.0,,Muna LEE,USAUSA,11.08 Q,0.17300000000000001,100 m,Quarter,F,2008
239,3.0,,Chandra STURRUP,BAHBAH,11.16 Q,0.179,100 m,Quarter,F,2008
240,4.0,,Montell DOUGLAS,GBRGBR,11.38,0.165,100 m,Quarter,F,2008
241,5.0,,Virgen BENAVIDES,CUBCUB,11.4,0.16899999999999998,100 m,Quarter,F,2008
242,6.0,,Kelly-Ann BAPTISTE,TTOTTO,11.42,0.19,100 m,Quarter,F,2008
243,7.0,,Natalya MURINOVICH,RUSRUS,11.51,0.188,100 m,Quarter,F,2008
244,8.0,,Natalia POHREBNIAK,UKRUKR,11.55,0.151,100 m,Quarter,F,2008
245,1.0,,Debbie FERGUSON-MCKENZIE,BAHBAH,11.21 Q,0.162,100 m,Quarter,F,2008
246,2.0,,Oludamola OSAYOMI,NGRNGR,11.28 Q,0.183,100 m,Quarter,F,2008
247,3.0,,Vida ANIM,GHAGHA,11.32 Q,0.16899999999999998,100 m,Quarter,F,2008
248,4.0,,Christine ARRON,FRAFRA,11.36,0.191,100 m,Quarter,F,2008
249,5.0,,Daria KORCZYNSKA,POLPOL,11.41,0.151,100 m,Quarter,F,2008
250,6.0,,Natalia RUSAKOVA,RUSRUS,11.49,0.18600000000000003,100 m,Quarter,F,2008
251,7.0,,Yomara HINESTROZA,COLCOL,11.66,0.17,100 m,Quarter,F,2008
252,8.0,,Thi Huong VU,VIEVIE,11.7,0.18600000000000003,100 m,Quarter,F,2008
253,1.0,,Kerron STEWART,JAMJAM,10.98 Q,0.156,100 m,Quarter,F,2008
254,2.0,,Lauryn WILLIAMS,USAUSA,11.07 Q,0.15,100 m,Quarter,F,2008
255,3.0,,Kim GEVAERT,BELBEL,11.10 Q,0.149,100 m,Quarter,F,2008
256,4.0,,Yuliya NESTSIARENKA,BLRBLR,11.14 q,0.187,100 m,Quarter,F,2008
257,5.0,,Tahesia HARRIGAN-SCOTT,IVBIVB,11.36,0.156,100 m,Quarter,F,2008
258,6.0,,Semoy HACKETT,TTOTTO,11.46,0.162,100 m,Quarter,F,2008
259,7.0,,Guzel KHUBBIEVA,UZBUZB,11.49,0.152,100 m,Quarter,F,2008
260,8.0,,Lucimar Aparecida DE MOURA,BRABRA,11.67,0.152,100 m,Quarter,F,2008
261,1.0,,Torri EDWARDS,USAUSA,11.31 Q,0.16,100 m,Quarter,F,2008
262,2.0,,Lina GRINCIKAITÉ-SAMUOLE,LTULTU,11.33 Q,0.161,100 m,Quarter,F,2008
263,3.0,,Ivet LALOVA-COLLIO,BULBUL,11.40 Q,0.18100000000000002,100 m,Quarter,F,2008
264,4.0,,Ezinne OKPARAEBO,NORNOR,11.45,0.16899999999999998,100 m,Quarter,F,2008
265,5.0,,Barbara PIERRE,HAIHAI,11.56,0.19699999999999998,100 m,Quarter,F,2008
266,6.0,,Anita PISTONE,ITAITA,11.56,0.14800000000000002,100 m,Quarter,F,2008
267,7.0,,Ruddy ZANG MILAMA,GABGAB,11.59,0.191,100 m,Quarter,F,2008
268,8.0,,Sasha SPRINGER,TTOTTO,11.71,0.204,100 m,Quarter,F,2008
269,1.0,,Shelly-Ann FRASER-PRYCE,JAMJAM,11.00 Q,0.217,100 m,Semi,F,2008
270,2.0,,Muna LEE,USAUSA,11.06 Q,0.155,100 m,Semi,F,2008
271,3.0,,Lauryn WILLIAMS,USAUSA,11.10 Q,0.174,100 m,Semi,F,2008
272,4.0,,Sherone SIMPSON,JAMJAM,11.11 Q,0.166,100 m,Semi,F,2008
273,5.0,,Chandra STURRUP,BAHBAH,11.22,0.159,100 m,Semi,F,2008
274,6.0,,Lina GRINCIKAITÉ-SAMUOLE,LTULTU,11.5,0.163,100 m,Semi,F,2008
275,7.0,,Ivet LALOVA-COLLIO,BULBUL,11.51,0.171,100 m,Semi,F,2008
276,8.0,,Vida ANIM,GHAGHA,11.51,0.18899999999999997,100 m,Semi,F,2008
277,1.0,,Kerron STEWART,JAMJAM,11.05 Q,0.20199999999999999,100 m,Semi,F,2008
278,2.0,,Torri EDWARDS,USAUSA,11.18 Q,0.174,100 m,Semi,F,2008
279,3.0,,Jeanette KWAKYE,GBRGBR,11.19 Q,0.156,100 m,Semi,F,2008
280,4.0,,Debbie FERGUSON-MCKENZIE,BAHBAH,11.22 Q,0.184,100 m,Semi,F,2008
281,5.0,,Yuliya NESTSIARENKA,BLRBLR,11.26,0.156,100 m,Semi,F,2008
282,6.0,,Kim GEVAERT,BELBEL,11.3,0.19399999999999998,100 m,Semi,F,2008
283,7.0,,Evgeniya POLYAKOVA,RUSRUS,11.38,0.17300000000000001,100 m,Semi,F,2008
284,8.0,,Oludamola OSAYOMI,NGRNGR,11.44,0.20800000000000002,100 m,Semi,F,2008
